"CODE","NAME","ptrans","health","cultfc","greens","public","cleans","trusts","safety","afford","lives"
"IT001C","Roma",25.3,49.5,68.9,58.8,53.4,8.2,47.9,38.9,23.6,74.2
"IT003C","Napoli",29.6,44.1,61.1,29.8,48.1,25.3,58.9,49.9,51.2,70
"IT004C","Torino",61.5,71.1,77.3,79.9,84.7,45.9,52,53.3,42.6,87.4
"IT005C","Palermo",20.7,36.6,59.8,34.1,46.4,7.6,52.1,50.9,56.6,62.9
"IT009C","Bologna",67.2,79.8,83.4,85.3,81.7,50.2,63,54.6,21.4,92.4
"IT012C","Verona",56.3,81.4,79.4,73.3,74.9,68.2,68.2,70.6,42,92.6
"LT001C","Vilnius",59,59.4,82.1,84.9,82.9,78,69.6,71.8,39.3,94
"LU001C","Luxembourg",81.2,85.1,84.5,88.4,87.6,93.7,76.9,82.4,12.1,94.4
"LV001C","Rīga",69.3,44.7,84,84.8,75.2,73.8,46.4,66.1,27.4,80.4
"MT001C","Greater Valletta",45,68.5,33.5,43,42.1,53.9,68.5,76.1,41.5,80.6
"NL001C","Amsterdam",81.2,88.9,86.8,87.7,86.4,63,68,82.7,10.1,94
"NL018C","Groningen",75.7,90.4,89.3,89.8,89,81.3,86,88.6,45,95.8
"NL037C","Rotterdam ",88.9,86.2,85.5,82.9,91.1,67.5,66.7,78.8,30.7,94.3
"NO001C","Oslo",88.1,86.9,88.8,93,79.8,70.2,85.3,84.4,14.3,97.1
"PL001C","Warszawa",76.3,38.7,84.6,83.3,73.4,66.1,42,80.4,24.7,92.2
"PL003C","Kraków",76.7,50.3,89.2,71.6,83.9,67.5,58.9,78.9,32.1,89.8
"PL006C","Gdańsk",81,48.1,88.2,83.6,83.6,73.9,66.6,80.7,33.7,97.2
"PL011C","Białystok",73.8,45.5,87.6,90.9,89.2,91.5,71.5,90,56.3,93.8
"PT001C","Lisboa",54.5,60.4,67.8,67,72.1,41.7,60.4,69.7,14.3,87.5
"PT003C","Braga",63.9,74.9,73.2,71.5,86.7,81.8,74.7,87.3,59.6,97
"RO001C","Bucureşti",48.2,41.9,68.9,61.4,54.7,36.9,41.8,59.6,41.3,80.8
"RO002C","Cluj-Napoca",69,52.1,83.1,66,73.2,68.7,72,83.7,40,94.2
"RO011C","Piatra Neamţ",59.6,43.3,65.2,80.4,62.3,81.7,67.5,79.3,57.1,93.4
"SE001C","Stockholm",80.4,78.5,88.5,90.5,86.1,70.8,83.6,90.6,9,97.6
"SE003C","Malmö",72.4,66.3,90.8,95.3,88.5,67.9,71.9,78.8,31,94.7
"SI001C","Ljubljana",72.1,68.4,85,86.8,84.1,85.5,65.8,89.3,22.6,93.5
"SK001C","Bratislava",57,44.9,78.6,54.5,67.1,31,41.2,69.3,13.9,91.5
"SK002C","Košice",52,59.3,83.3,72.7,83.2,62.7,50.2,65.3,27.4,94.2
"TR001C","Ankara",53.8,66.7,61.3,76.4,70.6,74.4,42.5,80.4,45.1,90.5
"TR003C","Antalya",56,63.8,53.9,68.7,64.5,63,54.4,73.4,43.9,80.3
"TR007C","Diyarbakır",51.9,58.2,55.5,69.2,72.3,54.4,77.7,77.1,56,83.3
"TR012C","İstanbul",56.9,62.8,56.6,55.8,56,61.8,28.4,49.7,21.2,66.4
"UK001C","London",84,69.9,78.5,92.2,83,65.9,68,75.7,13.3,92.6
"UK004C","Glasgow",76.8,80.8,88.2,87.9,81.1,64.2,82.7,82.8,47.5,95.3
"UK009C","Cardiff",73.5,80.8,92.4,90.8,86.3,73.9,77.2,78.1,46.7,96.8
"UK012C","Belfast",72,73.9,87.3,84.4,80.3,73,79.3,83.1,58.4,94.7
